Designator,Footprint,Quantity,Value,LCSC Part #
SW12,Kailh_socket_PG1350_optional,1,SW_Push,
SW18,Kailh_socket_PG1350_optional,1,SW_Push,
SW19,Kailh_socket_PG1350_optional,1,SW_Push,
SW15,Kailh_socket_PG1350_optional,1,SW_Push,
WWS1,SW_SPDT_PCM12,1,SW_SPDT,
SW23,Kailh_socket_PG1350_optional,1,SW_Push,
SW28,Kailh_socket_PG1350_optional,1,SW_Push,
JP1,JUMPER_SMD_2DUB,1,BLUETOOTH,
SW4,Kailh_socket_PG1350_optional,1,SW_Push,
SW17,Kailh_socket_PG1350_optional,1,SW_Push,
U3,I2C_Breakout,1,OLED1,
U4,I2C_Breakout,1,OLED2,
SW16,Kailh_socket_PG1350_optional,1,SW_Push,
H6,SinglePad,1,MountingHole_Pad,
SW32,Kailh_socket_PG1350_optional,1,SW_Push,
J2,TRRS-PJ-320A,1,TRRS LEFT,
SW24,Kailh_socket_PG1350_optional,1,SW_Push,
SW35,Kailh_socket_PG1350_optional,1,SW_Push,
puck2,Tenting_Pucksmol,1,Hole,
puck1,Tenting_Pucksmol,1,Hole,
SW3,Kailh_socket_PG1350_optional,1,SW_Push,
H2,breakaway-mousebites,1,Mousebites,
RST1,SW_ResetSW,1,SW_Push,
SW22,Kailh_socket_PG1350_optional,1,SW_Push,
H3,SinglePad,1,MountingHole_Pad,
SWW1,SW_SPDT_PCM12,1,SW_SPDT,
JP2,JUMPER_SMD_2DUB,1,WIRED,
SW34,Kailh_socket_PG1350_optional,1,SW_Push,
SW20,Kailh_socket_PG1350_optional,1,SW_Push,
SW30,Kailh_socket_PG1350_optional,1,SW_Push,
SW6,Kailh_socket_PG1350_optional,1,SW_Push,
BZ1,Buzzer_Mallory_AST1109MLTRQ,1,Buzzer,
SW10,Kailh_socket_PG1350_optional,1,SW_Push,
BZ2,Buzzer_Mallory_AST1109MLTRQ,1,Buzzer,
SW7,Kailh_socket_PG1350_optional,1,SW_Push,
SW27,Kailh_socket_PG1350_optional,1,SW_Push,
JP3,JUMPER_SMD_2DUB,1,BLAUZAHN,
SW25,Kailh_socket_PG1350_optional,1,SW_Push,
SW13,Kailh_socket_PG1350_optional,1,SW_Push,
SW29,Kailh_socket_PG1350_optional,1,SW_Push,
TSR1,SW_ResetSW,1,SW_Push,
H4,SinglePad,1,MountingHole_Pad,
SW11,Kailh_socket_PG1350_optional,1,SW_Push,
SW1,Kailh_socket_PG1350_optional,1,SW_Push,
SW2,Kailh_socket_PG1350_optional,1,SW_Push,
H5,SinglePad,1,MountingHole_Pad,
H10,breakaway-mousebites,1,Mousebites,
SW9,Kailh_socket_PG1350_optional,1,SW_Push,
BAT1,BAT,1,Conn_01x02_Male,
J1,TRRS-PJ-320A,1,TRRS LEFT,
H9,breakaway-mousebites,1,Mousebites,
JP4,JUMPER_SMD_2DUB,1,KABEL,
SW36,Kailh_socket_PG1350_optional,1,SW_Push,
H1,breakaway-mousebites,1,Mousebites,
H7,SinglePad,1,MountingHole_Pad,
SW5,Kailh_socket_PG1350_optional,1,SW_Push,
H12,Gauge_50mm_Type1_SilkScreenTop,1,Ruler,
TAB1,BAT,1,Conn_01x02_Male,
SW33,Kailh_socket_PG1350_optional,1,SW_Push,
SW14,Kailh_socket_PG1350_optional,1,SW_Push,
SW31,Kailh_socket_PG1350_optional,1,SW_Push,
H11,MountingHole_2.7mm_M2.5_DIN965,1,M3 MountingHole,
SW8,Kailh_socket_PG1350_optional,1,SW_Push,
SW26,Kailh_socket_PG1350_optional,1,SW_Push,
H8,SinglePad,1,MountingHole_Pad,
SW21,Kailh_socket_PG1350_optional,1,SW_Push,
U1,Elite-C,1,Elite-C RIGHT,
U2,Elite-C,1,Elite-C LEFT,
