Designator,Mid X,Mid Y,Rotation,Layer
SW12,65.435861,-75.631509,5.0,top
SW18,137.10254,-118.228528,-45.0,top
SW19,185.575,-44.07,0.0,top
SW15,120.325,-78.08,0.0,top
WWS1,159.315,-76.97,-90.0,top
SW23,263.492039,-56.218304,-10.0,top
SW28,260.559535,-72.94609,-10.0,top
JP1,138.9812,-41.2446,0.0,top
SW4,102.34,-42.07,0.0,top
SW17,120.980127,-105.849103,-30.0,top
U3,142.78,-72.22,-90.0,top
U4,170.97,-72.2,-90.0,top
SW16,102.203142,-98.063577,-15.0,top
H6,141.51,-62.39,0.0,top
SW32,240.473961,-75.632794,-5.0,top
J2,157.51,-85.26,90.0,top
SW24,185.585,-61.06,0.0,top
SW35,184.930127,-105.849103,30.0,top
puck2,92.29,-63.6,0.0,top
puck1,213.76,-63.6,0.0,top
SW3,84.325,-36.08,0.0,top
H2,156.02115,-85.29,-90.0,top
RST1,138.93,-76.15,0.0,top
SW22,243.433961,-41.742794,-5.0,top
H3,138.97,-62.39,0.0,top
SWW1,146.7,-76.99,90.0,top
JP2,139.04,-43.85,0.0,top
SW34,168.80807,-118.19807,45.0,top
SW20,203.585,-42.05,0.0,top
SW30,203.575,-76.05,0.0,top
SW6,45.353207,-72.999606,10.0,top
BZ1,134.5,-94.5,-30.0,top
SW10,120.325,-61.1,0.0,top
BZ2,171.5,-95.0,30.0,top
SW7,63.95,-58.7,5.0,top
SW27,241.953961,-58.692794,-5.0,top
JP3,167.39,-41.07,0.0,top
SW25,203.585,-59.05,0.0,top
SW13,84.305,-70.12,0.0,top
SW29,185.575,-78.07,0.0,top
TSR1,167.27,-76.16,0.0,top
H4,167.18,-62.32,0.0,top
SW11,48.308452,-89.740908,10.0,top
SW1,42.413207,-56.239606,10.0,top
SW2,62.47,-41.79,5.0,top
H5,144.05,-62.39,0.0,top
H10,149.52115,-45.48,-90.0,top
SW9,102.315,-59.1,0.0,top
J1,148.45,-85.28,-90.0,top
H9,156.03,-45.47,-90.0,top
JP4,167.3812,-43.54,0.0,top
SW36,203.682968,-98.071038,15.0,top
H1,149.52,-85.28,-90.0,top
H7,172.24,-62.33,0.0,top
SW5,120.32,-44.09,0.0,top
SW33,257.599535,-89.69609,-10.0,top
SW14,102.32,-76.11,0.0,top
SW31,221.575,-70.06,0.0,top
SW8,84.325,-53.08,0.0,top
SW26,221.585,-53.06,0.0,top
H8,169.7,-62.33,0.0,top
SW21,221.575,-36.05,0.0,top
U1,138.97,-53.51,-90.0,bottom
U2,167.14,-53.48675,-90.0,bottom
